Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01 09:30:00-04:00,629.4149780273438,635.7498779296875,617.1536865234375,618.2999877929688,2481069,85.79000091552734,86.9000015258789,85.7300033569336,86.40730285644531,3036074,266.2900085449219,266.6300048828125,262.30999755859375,262.8949890136719,6050260,309.5350036621094,310.92999267578125,308.5,309.5255126953125,5211777,372.281005859375,373.6499938964844,369.7099914550781,371.42138671875,2263085
2026-06-01 09:45:00-04:00,618.5700073242188,624.8099975585938,614.5900268554688,616.3499755859375,1451957,86.42919921875,87.2249984741211,86.28140258789062,87.12000274658203,1735023,262.8976135253906,265.2398986816406,262.7699890136719,264.4599914550781,2730489,309.54998779296875,310.6199951171875,309.1499938964844,310.0400085449219,1731103,371.5,372.55999755859375,370.1000061035156,371.1099853515625,763056
2026-06-01 10:00:00-04:00,616.5800170898438,618.280029296875,613.5,614.2100219726562,1064800,87.08000183105469,87.20999908447266,86.07499694824219,86.22000122070312,1541641,264.510009765625,265.45001220703125,263.8299865722656,264.4750061035156,2071222,310.0799865722656,310.25,309.1199951171875,309.7090148925781,1649032,371.07000732421875,372.739990234375,370.6326904296875,370.82000732421875,578241
2026-06-01 10:15:00-04:00,614.2999267578125,616.72998046875,609.8499755859375,610.205810546875,1163482,86.21510314941406,86.24500274658203,85.38999938964844,85.44499969482422,1621708,264.510009765625,264.8500061035156,264.05999755859375,264.260009765625,1440951,309.70001220703125,310.1499938964844,307.79998779296875,307.8399963378906,1583287,370.7900085449219,372.5599060058594,370.69000244140625,372.05999755859375,772159
2026-06-01 10:30:00-04:00,610.0700073242188,612.4598999023438,609.030029296875,612.125,1460807,85.44000244140625,85.54850006103516,85.31999969482422,85.44999694824219,1148013,264.260009765625,264.55499267578125,262.75,263.5899963378906,2283676,307.80999755859375,308.4700012207031,307.3500061035156,307.79998779296875,1697371,372.0899963378906,372.7699890136719,371.8800048828125,372.44000244140625,481643
2026-06-01 10:45:00-04:00,612.125,616.0399780273438,611.719970703125,615.139892578125,891692,85.44000244140625,85.76000213623047,85.37000274658203,85.54000091552734,1238027,263.57000732421875,264.6700134277344,263.5201110839844,264.6499938964844,1413672,307.8299865722656,307.8299865722656,306.55999755859375,306.9700012207031,1736690,372.4800109863281,373.2250061035156,372.260009765625,372.6700134277344,306718
2026-06-01 11:00:00-04:00,615.0750122070312,615.3099975585938,611.1599731445312,613.0449829101562,667039,85.53500366210938,85.81999969482422,85.31500244140625,85.76499938964844,2009795,264.6600036621094,264.75,263.8500061035156,264.0799865722656,1053291,306.9700012207031,307.5386047363281,306.29998779296875,306.80999755859375,1316293,372.6600036621094,373.7799987792969,372.06201171875,372.17999267578125,386502
2026-06-01 11:15:00-04:00,613.0549926757812,613.5,612.260009765625,613.3699951171875,380845,85.76000213623047,85.87000274658203,85.51000213623047,85.7300033569336,1382898,264.0899963378906,264.29998779296875,263.43499755859375,264.0498962402344,1149353,306.83990478515625,307.0899963378906,306.4700012207031,306.5751037597656,940652,372.1650085449219,372.2200012207031,371.20001220703125,371.82000732421875,352738
