Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18 13:30:00+00:00,263.864990234375,266.9599914550781,262.5299987792969,266.5199890136719,4032995,609.2249755859375,609.6400146484375,603.6900024414062,608.0150146484375,2148020,392.125,400.3999938964844,390.9100036621094,396.989990234375,2991138,300.239990234375,300.6300048828125,297.360107421875,299.17999267578125,3975161,86.4020004272461,87.7426986694336,86.33000183105469,87.58999633789062,4256747
2026-05-18 13:45:00+00:00,266.4700012207031,268.8500061035156,266.2699890136719,267.8599853515625,2288069,608.0418701171875,612.0,607.1300048828125,611.85498046875,795472,397.04998779296875,402.4200134277344,395.7857971191406,401.94000244140625,1233810,299.17999267578125,299.20001220703125,297.5400085449219,298.1099853515625,1322257,87.5999984741211,88.50499725341797,87.5,88.41500091552734,2107877
2026-05-18 14:00:00+00:00,267.8800048828125,268.2799987792969,266.0101013183594,268.1600036621094,1839607,611.8599853515625,612.219970703125,609.0499877929688,609.64501953125,566714,401.94000244140625,403.239990234375,400.19000244140625,403.0797119140625,1103287,298.07000732421875,298.4849853515625,296.70001220703125,298.2080078125,1468692,88.41999816894531,88.80660247802734,88.2301025390625,88.60990142822266,1540044
2026-05-18 14:15:00+00:00,268.1199951171875,268.6300048828125,267.4700012207031,267.9649963378906,1618995,609.7100219726562,611.9199829101562,609.5599975585938,611.469970703125,477223,403.0400085449219,404.44000244140625,401.75,402.04998779296875,939103,298.17999267578125,298.2550048828125,297.3299865722656,298.1650085449219,889073,88.6050033569336,89.56999969482422,88.6050033569336,89.48799896240234,1647882
2026-05-18 14:30:00+00:00,268.0,268.5799865722656,266.3900146484375,268.1400146484375,2366683,611.6599731445312,611.97998046875,605.7100219726562,609.9199829101562,588410,402.04998779296875,402.54998779296875,397.92999267578125,400.54998779296875,882542,298.1400146484375,298.489990234375,296.8500061035156,297.84130859375,1039091,89.48999786376953,89.52999877929688,88.81999969482422,89.4749984741211,1741043
2026-05-18 14:45:00+00:00,268.1199951171875,268.6300048828125,267.55999755859375,267.92999267578125,1405556,609.75,610.1298828125,608.0,609.3217163085938,344593,400.5950012207031,401.6300048828125,399.4949951171875,400.3999938964844,523762,297.8399963378906,298.5799865722656,297.5899963378906,298.29998779296875,837504,89.46990203857422,89.81500244140625,89.45500183105469,89.54989624023438,1682120
2026-05-18 15:00:00+00:00,267.92498779296875,268.0400085449219,266.375,266.8800048828125,1505683,609.3099975585938,609.510009765625,606.0,608.5399780273438,432564,400.44500732421875,400.8900146484375,398.5,400.3132019042969,474943,298.2300109863281,298.25,296.45001220703125,296.6700134277344,1087807,89.55999755859375,89.69000244140625,89.375,89.49500274658203,1231803
2026-05-18 15:15:00+00:00,266.8599853515625,266.92498779296875,265.7699890136719,265.8999938964844,1079790,608.4400024414062,609.1799926757812,607.1900024414062,607.7100219726562,310595,400.3550109863281,400.45001220703125,398.2799987792969,398.3299865722656,394632,296.6600036621094,296.7349853515625,295.4800109863281,295.4800109863281,895395,89.49500274658203,89.69000244140625,89.41500091552734,89.48500061035156,1078183
