Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-17 14:30:00+00:00,300.6499938964844,304.82000732421875,299.20001220703125,301.5400085449219,2432673,198.125,200.3800048828125,197.35009765625,197.42999267578125,7134383,639.5900268554688,642.2100219726562,631.7999877929688,636.4412841796875,1229756,258.04998779296875,259.6700134277344,255.55299377441406,258.9599914550781,3974724,76.70999908447266,77.87000274658203,75.9800033569336,76.15499877929688,4422050
2026-02-17 14:45:00+00:00,301.5799865722656,301.9200134277344,297.6700134277344,298.0950012207031,1212870,197.47999572753906,198.25599670410156,196.1199951171875,197.80999755859375,3595876,636.2999877929688,637.298583984375,630.010009765625,631.3350219726562,397404,258.94000244140625,259.7200012207031,258.17999267578125,258.6000061035156,1363490,76.16000366210938,76.16500091552734,75.30000305175781,75.56929779052734,2044911
2026-02-17 15:00:00+00:00,298.0899963378906,299.8599853515625,297.7699890136719,298.30999755859375,877639,197.80050659179688,198.8679962158203,197.55999755859375,198.0800018310547,2229933,631.1599731445312,634.2360229492188,630.5,632.8599853515625,268288,258.55499267578125,260.0,258.43499755859375,259.81500244140625,1101113,75.56500244140625,75.7300033569336,75.33999633789062,75.58499908447266,1220966
2026-02-17 15:15:00+00:00,298.260009765625,300.0,298.1517028808594,298.2799987792969,584881,198.02000427246094,199.20010375976562,196.0,198.9550018310547,1869824,632.8159790039062,635.919921875,630.52001953125,631.010009765625,380662,259.7900085449219,261.3900146484375,259.4100036621094,259.6400146484375,1656805,75.58499908447266,75.88999938964844,75.41000366210938,75.84500122070312,1116088
2026-02-17 15:30:00+00:00,298.20001220703125,298.8949890136719,296.8999938964844,298.54998779296875,885681,198.94000244140625,199.6300048828125,198.04339599609375,199.57000732421875,1887177,630.8599853515625,631.989990234375,628.7999877929688,631.5999755859375,318754,259.6300048828125,259.9549865722656,258.9700012207031,259.75,3950590,75.84500122070312,76.2300033569336,75.61000061035156,76.18000030517578,1194259
2026-02-17 15:45:00+00:00,298.5199890136719,300.2699890136719,297.8782958984375,300.1440124511719,787917,199.55999755859375,200.52999877929688,199.51499938964844,200.14500427246094,2014669,631.8200073242188,635.3900146484375,631.780029296875,634.5900268554688,307780,259.7300109863281,260.1400146484375,258.82000732421875,259.1481018066406,944377,76.17500305175781,76.43499755859375,76.04499816894531,76.1050033569336,5817616
2026-02-17 16:00:00+00:00,300.2569885253906,303.1098937988281,300.0906066894531,302.55999755859375,564505,200.16000366210938,201.3800048828125,200.02000427246094,200.91000366210938,1466699,634.77001953125,638.25,634.2899780273438,637.5499877929688,221895,259.1700134277344,260.42999267578125,258.739990234375,260.4049987792969,820088,76.1050033569336,76.58000183105469,76.05000305175781,76.57219696044922,451609
2026-02-17 16:15:00+00:00,302.55999755859375,303.44000244140625,301.4700012207031,301.57000732421875,383295,200.89999389648438,201.7362060546875,200.7100067138672,201.0800018310547,1507623,637.5499877929688,639.2999267578125,636.7849731445312,636.8400268554688,174793,260.44000244140625,260.9800109863281,260.04010009765625,260.2650146484375,812266,76.57499694824219,76.97000122070312,76.52999877929688,76.73999786376953,830799
