Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 13:30:00+00:00,91.98999786376953,93.2300033569336,91.86000061035156,92.48999786376953,4671000,209.77999877929688,211.80999755859375,209.50999450683594,210.89999389648438,6287429,253.99000549316406,254.55999755859375,251.36000061035156,253.30999755859375,5213795,605.7869873046875,605.7869873046875,599.010009765625,601.0499877929688,2427933,300.5299987792969,303.0,300.42999267578125,301.57000732421875,2680048
2026-03-23 13:45:00+00:00,92.5,92.79000091552734,91.94000244140625,92.40499877929688,1651881,210.94500732421875,212.6199951171875,210.5800018310547,212.60499572753906,2773432,253.36000061035156,253.58999633789062,251.80999755859375,252.0449981689453,1559628,601.0900268554688,604.8300170898438,600.5900268554688,604.1199951171875,644394,301.5799865722656,302.3599853515625,300.989990234375,301.8500061035156,1073640
2026-03-23 14:00:00+00:00,92.40499877929688,92.65499877929688,92.11000061035156,92.55500030517578,1151502,212.6199951171875,212.67999267578125,211.46119689941406,212.28500366210938,2150614,252.07000732421875,252.22500610351562,251.02000427246094,252.13999938964844,1604159,604.1699829101562,604.47998046875,601.1300048828125,603.7999877929688,469864,301.8500061035156,303.3699951171875,301.4700012207031,302.5799865722656,908065
2026-03-23 14:15:00+00:00,92.55500030517578,92.8550033569336,92.51000213623047,92.7699966430664,1154415,212.2899932861328,212.8000030517578,211.92999267578125,212.10000610351562,2205123,252.14999389648438,253.0050048828125,252.05079650878906,252.4398956298828,1087082,603.7999877929688,606.3900146484375,603.780029296875,605.469970703125,548458,302.5199890136719,303.2099914550781,302.2200012207031,302.4849853515625,638593
2026-03-23 14:30:00+00:00,92.7699966430664,92.97000122070312,92.69499969482422,92.83999633789062,771645,212.07000732421875,212.39999389648438,211.36000061035156,211.4250030517578,1408344,252.4199981689453,252.6999969482422,251.6699981689453,251.9499969482422,873286,605.489990234375,605.6782836914062,603.219970703125,603.4400024414062,309374,302.385009765625,302.4700012207031,300.9700012207031,301.2200012207031,765717
2026-03-23 14:45:00+00:00,92.83999633789062,93.1500015258789,92.77999877929688,93.07499694824219,1020403,211.4499969482422,212.22999572753906,211.39999389648438,211.75,1342855,251.92999267578125,252.61000061035156,251.52999877929688,252.10499572753906,667542,603.4000244140625,605.869873046875,603.06201171875,605.489990234375,269791,301.2340087890625,301.7200012207031,300.3599853515625,300.6700134277344,817556
2026-03-23 15:00:00+00:00,93.06999969482422,93.43000030517578,93.06999969482422,93.25499725341797,804607,211.75,212.6999969482422,211.6199951171875,212.4199981689453,1381167,252.11000061035156,252.9199981689453,251.9199981689453,252.7100067138672,855517,605.5900268554688,608.239990234375,605.3400268554688,608.0,485145,300.7049865722656,301.4549865722656,300.44000244140625,301.1400146484375,743478
2026-03-23 15:15:00+00:00,93.25499725341797,93.36499786376953,93.06510162353516,93.21499633789062,643391,212.47000122070312,212.65069580078125,211.92999267578125,212.0,1025967,252.72999572753906,252.7698974609375,252.0500030517578,252.57989501953125,998292,608.0,608.6400146484375,606.0,607.91357421875,447755,301.0799865722656,302.1199951171875,300.739990234375,301.3699951171875,801885
