Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 14:30:00+00:00,316.8999938964844,318.6000061035156,314.7070007324219,317.3500061035156,2166053,283.0,284.6899108886719,282.7300109863281,284.5400085449219,3529286,108.5,109.04000091552734,108.19999694824219,108.22010040283203,2153037,235.5,235.5399932861328,234.0500030517578,234.9149932861328,3449594,641.5,643.8790893554688,640.0599975585938,640.3099975585938,845882
2025-12-02 14:45:00+00:00,317.489990234375,318.1400146484375,316.19000244140625,316.5299987792969,587209,284.510009765625,285.04998779296875,283.0799865722656,283.3900146484375,1825716,108.22000122070312,108.63580322265625,107.94999694824219,108.47000122070312,718994,234.91000366210938,235.12989807128906,234.5,234.52000427246094,1087473,640.3099975585938,642.2899780273438,638.0700073242188,642.0900268554688,450740
2025-12-02 15:00:00+00:00,316.57000732421875,317.4599914550781,316.2200012207031,317.33990478515625,550767,283.3949890136719,284.95001220703125,283.260009765625,284.760009765625,1169951,108.4749984741211,108.71990203857422,108.08999633789062,108.23999786376953,579097,234.52999877929688,235.77000427246094,234.41000366210938,235.66400146484375,1585231,642.114990234375,643.7659301757812,642.0,642.75,334310
2025-12-02 15:15:00+00:00,317.2900085449219,317.82000732421875,316.5199890136719,316.5769958496094,423908,284.75,285.3089904785156,284.4800109863281,284.57000732421875,1353220,108.24500274658203,108.46499633789062,108.12999725341797,108.16500091552734,405529,235.6699981689453,235.67999267578125,234.6199951171875,234.72000122070312,1230796,642.719970703125,643.0687866210938,641.5800170898438,642.2525024414062,242306
2025-12-02 15:30:00+00:00,316.5880126953125,316.75,315.5199890136719,316.6300048828125,456391,284.5400085449219,285.95001220703125,284.1499938964844,285.93499755859375,1491595,108.16000366210938,108.439697265625,107.86000061035156,108.3550033569336,516131,234.72000122070312,235.35000610351562,234.5399932861328,235.22999572753906,865169,642.3200073242188,643.2000122070312,641.0599975585938,643.1500244140625,353622
2025-12-02 15:45:00+00:00,316.6700134277344,318.4800109863281,316.5600891113281,317.760009765625,667901,285.95001220703125,286.9800109863281,285.760009765625,286.95550537109375,2107533,108.36000061035156,108.43900299072266,108.16500091552734,108.375,442640,235.23500061035156,236.6999969482422,235.16000366210938,236.41099548339844,1442380,643.10498046875,645.7999877929688,642.8400268554688,645.030029296875,300141
2025-12-02 16:00:00+00:00,317.79998779296875,317.8999938964844,314.82000732421875,315.3949890136719,514062,286.94000244140625,287.3999938964844,285.94500732421875,286.04998779296875,1643922,108.375,108.62999725341797,107.9000015258789,107.97000122070312,541392,236.41000366210938,238.97000122070312,236.08999633789062,236.3199005126953,3971046,645.0750122070312,645.8499755859375,641.6099853515625,642.0,300088
2025-12-02 16:15:00+00:00,315.3500061035156,316.010009765625,314.2200012207031,314.860107421875,565101,286.0400085449219,286.32281494140625,285.3699951171875,285.5400085449219,971865,107.9749984741211,108.0999984741211,107.81999969482422,107.92500305175781,386891,236.25,236.75340270996094,234.2100067138672,234.39010620117188,1916062,642.1060791015625,642.4600219726562,638.75,639.468994140625,316459
