Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08 09:30:00-04:00,81.54199981689453,82.19999694824219,81.33999633789062,82.01000213623047,2918817,308.739013671875,315.1700134277344,308.5220031738281,311.489990234375,6266305,590.22998046875,591.9199829101562,579.219970703125,587.4000244140625,2752017,246.61000061035156,249.4199981689453,246.3800048828125,247.7449951171875,3912932,362.4849853515625,363.3800048828125,359.8399963378906,362.30499267578125,2515253
2026-06-08 09:45:00-04:00,82.0,82.55999755859375,81.5999984741211,82.52970123291016,1331199,311.4949951171875,312.7699890136719,310.6050109863281,310.9200134277344,1760237,587.3499755859375,589.8699951171875,586.5,588.8150024414062,713496,247.72000122070312,248.9001007080078,246.9499969482422,247.02999877929688,1418065,362.2699890136719,362.3598937988281,360.04998779296875,360.20001220703125,918667
2026-06-08 10:00:00-04:00,82.57499694824219,82.83999633789062,82.50499725341797,82.79499816894531,1452614,310.9599914550781,312.42999267578125,310.7449951171875,310.92999267578125,1459231,588.8200073242188,591.4400024414062,587.72998046875,590.9000244140625,449594,247.07000732421875,247.4499969482422,246.57009887695312,246.9550018310547,1233442,360.1549987792969,360.3299865722656,357.9049987792969,358.3949890136719,1337743
2026-06-08 10:15:00-04:00,82.79499816894531,83.07980346679688,82.70999908447266,82.7249984741211,1369298,310.9100036621094,312.2762145996094,309.9169006347656,311.9750061035156,1375952,590.9000244140625,591.0,587.9600219726562,588.2349853515625,470493,246.9600067138672,247.05499267578125,246.12010192871094,246.8101043701172,1287502,358.3999938964844,359.7099914550781,357.8900146484375,359.239990234375,933505
2026-06-08 10:30:00-04:00,82.7249984741211,82.75990295410156,82.37000274658203,82.59500122070312,1424744,311.9599914550781,312.9599914550781,311.7799987792969,312.8699951171875,1336093,588.405029296875,588.7999877929688,586.7000122070312,587.9550170898438,579891,246.7949981689453,247.2198944091797,246.25999450683594,246.4846954345703,1022109,359.20001220703125,359.56988525390625,358.239990234375,358.6199951171875,573027
2026-06-08 10:45:00-04:00,82.58499908447266,82.83000183105469,82.4800033569336,82.59500122070312,994642,312.8900146484375,315.3599853515625,312.8900146484375,315.2699890136719,2011571,588.0,590.889892578125,587.9099731445312,590.3800048828125,403221,246.51499938964844,247.2100067138672,246.31500244140625,247.2100067138672,924488,358.70001220703125,361.79998779296875,358.68701171875,361.739990234375,617534
2026-06-08 11:00:00-04:00,82.5999984741211,82.6050033569336,82.18000030517578,82.21499633789062,1077647,315.260009765625,315.3500061035156,314.2619934082031,314.2850036621094,1213280,590.2600708007812,591.8200073242188,589.9199829101562,590.239990234375,340395,247.2100067138672,247.71499633789062,246.88999938964844,247.49000549316406,907369,361.80999755859375,361.9700012207031,360.3999938964844,360.8550109863281,521056
2026-06-08 11:15:00-04:00,82.19999694824219,82.38919830322266,82.05000305175781,82.2699966430664,802769,314.2900085449219,314.5950012207031,313.875,313.92999267578125,958504,590.25,590.8800048828125,587.510009765625,587.6500244140625,326057,247.49000549316406,247.6300048828125,246.41000366210938,246.44000244140625,725862,360.8550109863281,361.7300109863281,360.4100036621094,360.4700012207031,477449
