Ticker,Price,2025-11-21,2025-11-24,2025-11-25
META,Open,588.5,598.719970703125,624.0
META,High,598.1199951171875,616.7000122070312,637.0499877929688
META,Low,581.8599853515625,597.6300048828125,618.2999877929688
META,Close,594.25,613.0499877929688,636.219970703125
META,Volume,21052600.0,23554900.0,25213000.0
AMZN,Open,216.35000610351562,222.55999755859375,226.3800048828125
AMZN,High,222.2100067138672,227.3300018310547,230.52000427246094
AMZN,Low,215.17999267578125,222.27000427246094,223.8000030517578
AMZN,Close,220.69000244140625,226.27999877929688,229.6699981689453
AMZN,Volume,68490500.0,54318400.0,39379300.0
NFLX,Open,105.12999725341797,104.25,106.12000274658203
NFLX,High,106.52999877929688,108.04000091552734,106.30000305175781
NFLX,Low,103.80999755859375,103.31999969482422,103.81999969482422
NFLX,Close,104.30999755859375,106.97000122070312,104.4000015258789
NFLX,Volume,41232700.0,62918300.0,35122600.0
AAPL,Open,265.95001220703125,270.8999938964844,275.2699890136719
AAPL,High,273.3299865722656,277.0,280.3800048828125
AAPL,Low,265.6700134277344,270.8999938964844,275.25
AAPL,Close,271.489990234375,275.9200134277344,276.9700012207031
AAPL,Volume,59030800.0,65585800.0,46914200.0
GOOG,Open,296.8699951171875,311.010009765625,326.79998779296875
GOOG,High,303.9599914550781,319.79998779296875,328.6700134277344
GOOG,Low,294.3599853515625,309.3999938964844,317.8160095214844
GOOG,Close,299.6499938964844,318.4700012207031,323.6400146484375
GOOG,Volume,43670600.0,55311800.0,50899300.0
