Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26 09:30:00-04:00,380.9949951171875,382.7699890136719,379.1400146484375,381.1400146484375,2030644,88.38400268554688,88.7249984741211,87.55500030517578,88.04000091552734,2436478,309.3999938964844,311.489990234375,309.3500061035156,310.4200134277344,4211628,267.57501220703125,269.29998779296875,266.82000732421875,266.9617004394531,3502825,609.5999755859375,614.469970703125,607.3800048828125,607.6900024414062,2132527
2026-05-26 09:45:00-04:00,381.0799865722656,383.4700012207031,380.3999938964844,383.3900146484375,673567,88.04000091552734,88.18000030517578,87.75,87.97799682617188,898571,310.45001220703125,310.9599914550781,309.93499755859375,310.9200134277344,1646837,266.9800109863281,267.54998779296875,265.6600036621094,266.75,1698214,607.6900024414062,609.8499755859375,605.5850219726562,609.635009765625,551151
2026-05-26 10:00:00-04:00,383.385009765625,384.2200012207031,382.75,384.19000244140625,577860,88.0,88.46499633789062,87.94999694824219,88.08499908447266,987563,310.9049987792969,311.6340026855469,309.8800048828125,311.5,2079870,266.739990234375,268.2200012207031,266.70001220703125,267.9849853515625,1710317,609.8499755859375,610.97998046875,609.0,610.02001953125,383157
2026-05-26 10:15:00-04:00,384.20001220703125,384.4125061035156,382.9704895019531,383.5,619634,88.08000183105469,88.1050033569336,87.57499694824219,87.67500305175781,1173148,311.5150146484375,311.82000732421875,310.8599853515625,311.7200012207031,1307541,268.0,268.056884765625,265.4100036621094,265.4440002441406,1522006,610.0250244140625,611.27001953125,608.5,608.9400024414062,390485
2026-05-26 10:30:00-04:00,383.5,384.0899963378906,382.0199890136719,382.44000244140625,506820,87.68000030517578,87.7300033569336,87.25,87.56999969482422,1153990,311.7300109863281,311.80999755859375,310.989990234375,311.2749938964844,1224764,265.41009521484375,265.41448974609375,264.20001220703125,264.57000732421875,1736688,608.7000122070312,608.9400024414062,606.9000244140625,607.9600219726562,441298
2026-05-26 10:45:00-04:00,382.3999938964844,384.25,382.0,384.2149963378906,519023,87.55999755859375,87.67500305175781,87.33499908447266,87.44000244140625,700547,311.2799987792969,311.6000061035156,310.8599853515625,311.57000732421875,934751,264.57000732421875,264.8500061035156,264.1400146484375,264.31500244140625,1367768,608.030029296875,608.5999755859375,606.4801025390625,606.4801025390625,372361
2026-05-26 11:00:00-04:00,384.2149963378906,385.3900146484375,383.84051513671875,384.239990234375,588133,87.44000244140625,87.62000274658203,87.4219970703125,87.48999786376953,639361,311.54998779296875,311.7799987792969,311.35400390625,311.4898986816406,933906,264.3399963378906,264.76910400390625,263.82000732421875,264.3500061035156,1337138,606.5499877929688,607.3900146484375,605.6099853515625,606.530029296875,356241
2026-05-26 11:15:00-04:00,384.17999267578125,384.19000244140625,381.94000244140625,382.2149963378906,637171,87.47000122070312,87.79000091552734,87.43720245361328,87.72000122070312,673627,311.4800109863281,311.80999755859375,311.1600036621094,311.3599853515625,842502,264.3399963378906,264.7699890136719,263.5201110839844,263.84149169921875,1075729,606.5850219726562,607.5,606.02001953125,607.1400146484375,333508
