Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 14:30:00+00:00,230.02000427246094,230.0800018310547,228.21400451660156,228.24000549316406,2185603,647.0,652.010009765625,647.0,647.7349853515625,798116,315.0950012207031,316.1300048828125,312.6549987792969,312.8699951171875,1608307,95.125,96.91999816894531,95.125,96.76020050048828,7256153,277.0,279.1907958984375,276.9700927734375,278.6099853515625,1662056
2025-12-12 14:45:00+00:00,228.24000549316406,228.5449981689453,227.5500030517578,228.41000366210938,1571158,647.72998046875,650.2100219726562,646.5,650.2000122070312,468171,312.889404296875,313.5,312.239990234375,313.41241455078125,535879,96.76499938964844,96.7750015258789,95.93000030517578,96.40039825439453,1754490,278.6099853515625,279.2200012207031,278.0199890136719,278.9549865722656,703150
2025-12-12 15:00:00+00:00,228.36000061035156,228.41000366210938,226.82000732421875,227.2198028564453,1292788,650.239990234375,650.4000244140625,647.5800170898438,648.0800170898438,291331,313.4549865722656,313.57501220703125,311.75,311.9352111816406,417443,96.40499877929688,96.66000366210938,95.91000366210938,96.38500213623047,1468332,278.94000244140625,279.159912109375,278.35919189453125,278.6300048828125,720536
2025-12-12 15:15:00+00:00,227.2100067138672,227.5399932861328,226.35000610351562,226.3800048828125,1003247,647.9500122070312,648.2899169921875,643.8499755859375,644.010009765625,310962,311.92999267578125,312.364013671875,309.4330139160156,309.5899963378906,572012,96.375,96.48999786376953,95.52999877929688,95.54000091552734,1184881,278.6499938964844,278.7051086425781,277.82000732421875,277.8699951171875,821586
2025-12-12 15:30:00+00:00,226.36000061035156,227.54449462890625,226.14999389648438,227.4199981689453,871407,643.9299926757812,646.75,643.3101196289062,646.6300048828125,304027,309.6099853515625,310.5799865722656,309.2200012207031,310.4800109863281,561458,95.54199981689453,96.06999969482422,95.45999908447266,95.76499938964844,974393,277.8800048828125,278.8599853515625,277.5400085449219,278.55999755859375,922417
2025-12-12 15:45:00+00:00,227.44000244140625,227.61000061035156,226.25,226.5500030517578,688383,646.760009765625,647.2000122070312,643.0599975585938,644.0093994140625,275200,310.44000244140625,310.94000244140625,308.3299865722656,308.54998779296875,498496,95.7645034790039,95.8499984741211,94.95999908447266,95.18000030517578,1003298,278.57000732421875,278.69000244140625,277.7099914550781,277.8500061035156,691633
2025-12-12 16:00:00+00:00,226.5399932861328,226.6699981689453,225.8135986328125,226.26150512695312,1172433,643.9600219726562,644.8200073242188,640.9500122070312,642.0800170898438,445100,308.5899963378906,309.03118896484375,307.1499938964844,308.7250061035156,646946,95.17400360107422,95.33000183105469,95.0,95.19999694824219,872468,277.79998779296875,278.3800048828125,277.510009765625,277.6700134277344,945296
2025-12-12 16:15:00+00:00,226.25,226.3498992919922,225.3000030517578,226.02000427246094,988193,641.8400268554688,642.5169067382812,639.010009765625,641.469970703125,424564,308.5899963378906,308.9100036621094,307.0880126953125,308.0,637476,95.19000244140625,95.36000061035156,94.88009643554688,95.15499877929688,778881,277.6400146484375,278.17999267578125,277.44000244140625,277.739990234375,926199
