Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26 14:30:00+00:00,239.97999572753906,240.89999389648438,237.5399932861328,237.83999633789062,2812885,665.2249755859375,669.8099975585938,661.2855224609375,666.3800048828125,1705773,86.91000366210938,86.94000244140625,85.7699966430664,85.95500183105469,3828723,251.47999572753906,253.25,249.8000030517578,252.7100067138672,4751362,328.20001220703125,330.9800109863281,327.5249938964844,329.25,1571590
2026-01-26 14:45:00+00:00,237.80999755859375,238.91000366210938,237.60000610351562,238.32000732421875,1088066,666.3800048828125,667.989990234375,664.719970703125,667.030029296875,496835,85.95999908447266,85.95999908447266,85.44000244140625,85.48500061035156,1583384,252.72999572753906,253.78689575195312,252.27000427246094,252.75999450683594,1703995,329.239990234375,331.42999267578125,329.010009765625,331.3399963378906,466526
2026-01-26 15:00:00+00:00,238.30999755859375,238.91000366210938,238.14999389648438,238.77000427246094,726964,667.0800170898438,667.7999877929688,666.1300048828125,667.5950927734375,415536,85.4800033569336,86.0,85.3499984741211,85.8949966430664,1355439,252.74000549316406,254.10000610351562,252.6199951171875,253.6820068359375,1759095,331.3699951171875,332.07000732421875,330.8800048828125,331.82000732421875,574153
2026-01-26 15:15:00+00:00,238.80999755859375,239.639892578125,238.6999969482422,238.96499633789062,817590,667.7000122070312,670.9099731445312,667.280029296875,670.77001953125,636203,85.89579772949219,86.48999786376953,85.7750015258789,85.9198989868164,1463568,253.6999969482422,254.88999938964844,253.50999450683594,254.0399932861328,1596154,331.82000732421875,333.44000244140625,331.40008544921875,333.1000061035156,501023
2026-01-26 15:30:00+00:00,238.94000244140625,239.8000030517578,238.9199981689453,239.38999938964844,622164,670.760009765625,671.7100219726562,668.1099853515625,668.6400146484375,357723,85.91500091552734,85.95999908447266,85.62999725341797,85.86540222167969,1005995,254.0399932861328,255.33999633789062,253.9199981689453,254.9510040283203,1649373,333.1300048828125,333.760009765625,332.80010986328125,333.0932922363281,364735
2026-01-26 15:45:00+00:00,239.4199981689453,239.92990112304688,239.38999938964844,239.4199981689453,600676,668.719970703125,671.9400024414062,668.416015625,671.811279296875,382287,85.87000274658203,86.0,85.76000213623047,85.875,986302,254.96499633789062,255.5,254.6699981689453,254.8000030517578,1118042,333.04998779296875,333.659912109375,332.54998779296875,333.57000732421875,355079
2026-01-26 16:00:00+00:00,239.41000366210938,240.0,239.32000732421875,239.46499633789062,792524,671.8114013671875,674.97998046875,671.6599731445312,672.7650146484375,584367,85.87000274658203,86.16000366210938,85.87000274658203,85.98739624023438,851536,254.8090057373047,255.32000732421875,254.55999755859375,255.12010192871094,1196000,333.6099853515625,335.0198974609375,333.05999755859375,334.6700134277344,468115
2026-01-26 16:15:00+00:00,239.5196990966797,239.9550018310547,238.97000122070312,239.84249877929688,678640,672.8599853515625,672.89990234375,670.2000122070312,672.1699829101562,351085,85.98500061035156,85.98999786376953,85.6500015258789,85.93499755859375,678280,255.13499450683594,255.2100067138672,254.22999572753906,255.0998992919922,977744,334.7099914550781,334.7799987792969,333.8699951171875,334.760009765625,416215
