Ticker,Price,2025-12-02,2025-12-03,2025-12-04,2025-12-05
GOOG,Open,316.8999938964844,316.0299987792969,323.0450134277344,320.0
GOOG,High,318.6000061035156,322.0400085449219,323.0989990234375,323.8299865722656
GOOG,Low,314.2200012207031,314.2799987792969,315.5899963378906,319.9800109863281
GOOG,Close,316.0199890136719,320.6199951171875,318.3900146484375,322.0899963378906
GOOG,Volume,24668200.0,32285100.0,20831600.0,15693700.0
META,Open,642.3400268554688,644.4099731445312,676.0,664.0
META,High,647.8699951171875,648.8499755859375,676.0999755859375,674.6900024414062
META,Low,638.0700073242188,637.5499877929688,660.0499877929688,662.3900146484375
META,Close,647.0999755859375,639.5999755859375,661.530029296875,673.4199829101562
META,Volume,11640900.0,11134300.0,29874600.0,21166900.0
AMZN,Open,235.00999450683594,233.35000610351562,232.77000427246094,230.32000732421875
AMZN,High,238.97000122070312,233.3800048828125,233.5,231.24000549316406
AMZN,Low,233.5500030517578,230.61000061035156,226.8000030517578,228.5500030517578
AMZN,Close,234.4199981689453,232.3800048828125,229.11000061035156,229.52999877929688
AMZN,Volume,45785400.0,35495100.0,45683200.0,33075500.0
NFLX,Open,109.20999908447266,106.58999633789062,103.56999969482422,98.77999877929688
NFLX,High,109.7300033569336,106.87000274658203,103.80000305175781,104.79000091552734
NFLX,Low,107.5199966430664,102.02999877929688,101.7699966430664,97.73999786376953
NFLX,Close,109.3499984741211,103.95999908447266,103.22000122070312,100.23999786376953
NFLX,Volume,25763000.0,53593400.0,51779100.0,133177200.0
AAPL,Open,283.0,286.20001220703125,284.1000061035156,280.5400085449219
AAPL,High,287.3999938964844,288.6199951171875,284.7300109863281,281.1400146484375
AAPL,Low,282.6300048828125,283.29998779296875,278.5899963378906,278.04998779296875
AAPL,Close,286.19000244140625,284.1499938964844,280.70001220703125,278.7799987792969
AAPL,Volume,53669500.0,43538700.0,43989100.0,47244000.0
