Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29 14:30:00+00:00,231.94000244140625,232.13999938964844,230.77000427246094,231.7050018310547,1789287,312.81500244140625,314.1700134277344,311.9800109863281,313.7099914550781,1479898,658.010009765625,660.25,655.5,658.22998046875,962735,272.69000244140625,274.3599853515625,272.3900146484375,273.6650085449219,1826316,93.98500061035156,94.97000122070312,93.9800033569336,94.83999633789062,1670654
2025-12-29 14:45:00+00:00,231.7050018310547,232.3800048828125,231.52000427246094,232.32000732421875,630105,313.69000244140625,313.75,312.5400085449219,313.252197265625,560875,658.0900268554688,658.364990234375,656.1950073242188,657.97998046875,226119,273.69000244140625,274.07000732421875,273.489990234375,273.8599853515625,567304,94.83499908447266,94.85990142822266,94.41999816894531,94.43990325927734,788907
2025-12-29 15:00:00+00:00,232.33999633789062,232.60000610351562,231.42799377441406,231.49000549316406,588493,313.25,314.04998779296875,311.8999938964844,312.3999938964844,513888,657.97998046875,659.239990234375,656.3200073242188,656.5800170898438,243879,273.8699951171875,273.989013671875,272.9200134277344,273.1099853515625,649918,94.44000244140625,94.5,93.76000213623047,93.8301010131836,3158348
2025-12-29 15:15:00+00:00,231.5,232.26499938964844,231.4499969482422,232.25,371036,312.4469909667969,313.8919982910156,312.4469909667969,313.8500061035156,290832,656.4600219726562,659.1500244140625,656.3800048828125,658.4450073242188,178148,273.1199951171875,274.0198974609375,273.11151123046875,273.9543151855469,661533,93.83000183105469,94.0999984741211,93.81999969482422,94.01499938964844,608157
2025-12-29 15:30:00+00:00,232.24000549316406,232.3699951171875,231.89999389648438,232.0500030517578,418772,313.81500244140625,314.4620056152344,313.6736145019531,313.9700012207031,279830,658.3701171875,659.3798828125,657.780029296875,659.280029296875,137429,273.95001220703125,274.0299987792969,273.739990234375,273.760009765625,467778,94.0199966430664,94.09500122070312,93.80000305175781,93.91999816894531,571426
2025-12-29 15:45:00+00:00,232.07000732421875,232.22999572753906,231.50999450683594,231.69000244140625,346302,313.92999267578125,313.95001220703125,313.0299987792969,313.67498779296875,263731,659.3699951171875,659.3800048828125,657.590087890625,657.8699951171875,133296,273.7650146484375,273.79998779296875,272.989990234375,273.260009765625,461323,93.92500305175781,93.94000244140625,93.74500274658203,93.83499908447266,588910
2025-12-29 16:00:00+00:00,231.69000244140625,231.7581024169922,231.49000549316406,231.61700439453125,336995,313.67999267578125,313.92999267578125,313.3500061035156,313.5199890136719,177105,657.9450073242188,658.1699829101562,657.1300048828125,657.9500122070312,195566,273.25,273.45001220703125,273.1300048828125,273.29998779296875,320015,93.83499908447266,93.94999694824219,93.75,93.93499755859375,4082832
2025-12-29 16:15:00+00:00,231.61000061035156,231.6199951171875,231.2899932861328,231.52239990234375,449295,313.5350036621094,313.55999755859375,312.5,312.8074951171875,195442,657.97998046875,658.1300048828125,657.219970703125,657.7100219726562,132123,273.2850036621094,273.3599853515625,273.07000732421875,273.2200012207031,284263,93.93000030517578,93.93499755859375,93.77999877929688,93.84439849853516,378965
