Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04 13:30:00+00:00,607.9349975585938,608.2999877929688,604.3699951171875,605.6199951171875,1849841,92.02999877929688,92.33000183105469,91.51000213623047,91.7699966430664,2092952,382.32000732421875,384.1600036621094,378.8599853515625,379.7298889160156,3124966,268.9949951171875,273.3500061035156,268.8599853515625,271.57000732421875,5215717,279.6549987792969,280.6300048828125,276.1600036621094,276.7799987792969,5160796
2026-05-04 13:45:00+00:00,605.5599975585938,606.5999755859375,604.0800170898438,604.2899780273438,827360,91.7699966430664,91.8499984741211,91.31169891357422,91.33999633789062,1226380,379.6600036621094,379.94000244140625,377.92999267578125,379.55999755859375,933516,271.6300048828125,272.6300048828125,270.44000244140625,271.7799987792969,2013059,276.7900085449219,277.6700134277344,275.4100036621094,275.45001220703125,2919276
2026-05-04 14:00:00+00:00,604.1300048828125,605.530029296875,602.7501220703125,605.1701049804688,866587,91.3499984741211,91.72000122070312,91.12200164794922,91.72000122070312,1250731,379.5799865722656,380.239990234375,378.7149963378906,379.489990234375,945564,271.7275085449219,271.7799987792969,269.4516906738281,270.214599609375,1767655,275.43499755859375,276.125,274.860107421875,276.1050109863281,2236300
2026-05-04 14:15:00+00:00,605.1699829101562,607.5999755859375,605.0125732421875,605.5900268554688,671756,91.70999908447266,92.20500183105469,91.63999938964844,92.11499786376953,1799129,379.44000244140625,380.6300048828125,378.6836853027344,378.95001220703125,584554,270.2099914550781,272.3800048828125,270.18499755859375,271.9700012207031,1844294,276.1099853515625,276.4700012207031,275.70001220703125,276.25360107421875,1527282
2026-05-04 14:30:00+00:00,605.6400146484375,610.2899780273438,605.3820190429688,609.9400024414062,828763,92.13999938964844,92.1500015258789,92.00499725341797,92.03500366210938,623349,378.8900146484375,380.1499938964844,378.510009765625,380.1499938964844,522009,271.9800109863281,275.8699951171875,271.75,275.2099914550781,4574703,276.2749938964844,277.8399963378906,276.07000732421875,277.7250061035156,1903373
2026-05-04 14:45:00+00:00,610.02001953125,613.4998779296875,609.510009765625,612.6599731445312,900369,92.04000091552734,92.30000305175781,91.82350158691406,91.83000183105469,816561,380.1600036621094,380.32000732421875,379.19000244140625,379.2099914550781,472839,275.2499084472656,276.1000061035156,273.3800048828125,273.45001220703125,2821594,277.7300109863281,278.0,277.114990234375,277.3299865722656,1094208
2026-05-04 15:00:00+00:00,612.8250122070312,613.7498779296875,610.6723022460938,611.4000244140625,622249,91.83499908447266,92.08999633789062,91.68000030517578,91.8479995727539,858246,379.2799987792969,379.8800048828125,377.70001220703125,378.0899963378906,511183,273.4700012207031,275.0,273.0,274.10198974609375,1623650,277.32000732421875,277.8800048828125,277.010009765625,277.5400085449219,1046167
2026-05-04 15:15:00+00:00,611.22998046875,611.7147827148438,607.0,608.2717895507812,790332,91.84500122070312,91.87999725341797,91.62010192871094,91.7249984741211,610481,378.1000061035156,378.6499938964844,376.7699890136719,378.6499938964844,718021,274.1000061035156,274.4100036621094,272.3362121582031,273.5950012207031,2062208,277.5400085449219,277.6600036621094,276.6700134277344,276.8349914550781,1051730
