Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20 14:30:00+00:00,321.3999938964844,325.20001220703125,320.8900146484375,322.1300048828125,2210661,88.93000030517578,89.9000015258789,88.5999984741211,89.41000366210938,8098525,233.6649932861328,234.4499969482422,231.55999755859375,232.656005859375,4916335,252.50999450683594,254.7899932861328,252.36000061035156,253.07000732421875,4775257,607.8800048828125,608.4188232421875,600.010009765625,606.75,1562896
2026-01-20 14:45:00+00:00,322.17999267578125,324.8500061035156,321.260009765625,324.0,867854,89.41500091552734,89.55000305175781,88.97000122070312,89.08499908447266,2344508,232.6649932861328,234.05499267578125,232.25,233.4149932861328,1529093,253.0800018310547,253.17999267578125,251.86000061035156,252.5800018310547,1671773,606.8599853515625,610.3300170898438,604.9099731445312,607.2349853515625,583425
2026-01-20 15:00:00+00:00,323.9150085449219,324.9620056152344,322.8900146484375,324.57000732421875,638771,89.0999984741211,89.19000244140625,88.5199966430664,88.81500244140625,1724891,233.42999267578125,233.6999969482422,232.35000610351562,232.73500061035156,1132476,252.47000122070312,252.75999450683594,251.02000427246094,251.13999938964844,1414733,607.0,610.0449829101562,606.46240234375,609.1900024414062,383263
2026-01-20 15:15:00+00:00,324.5849914550781,325.69000244140625,324.20001220703125,324.7900085449219,429651,88.81500244140625,88.93000030517578,88.4800033569336,88.69000244140625,1663515,232.74000549316406,234.95199584960938,232.6999969482422,234.80690002441406,991470,251.1699981689453,251.74000549316406,250.85000610351562,251.61570739746094,1225790,609.135009765625,611.4000244140625,607.7999877929688,611.3099975585938,327044
2026-01-20 15:30:00+00:00,324.80999755859375,326.3299865722656,324.57000732421875,325.07000732421875,501777,88.68000030517578,88.81999969482422,88.44499969482422,88.74559783935547,1527765,234.75999450683594,234.9499969482422,234.3000030517578,234.88499450683594,945815,251.63999938964844,251.6999969482422,251.0,251.5399932861328,1032328,611.3099975585938,611.3099975585938,608.8599853515625,610.5599975585938,284373
2026-01-20 15:45:00+00:00,325.07000732421875,326.30999755859375,324.45001220703125,326.2099914550781,547611,88.74500274658203,88.79499816894531,88.22000122070312,88.4000015258789,1659577,234.89999389648438,234.9499053955078,233.82000732421875,234.38499450683594,696984,251.5399932861328,251.69000244140625,250.89999389648438,251.5500030517578,899363,610.7550048828125,611.0,608.1699829101562,609.1699829101562,239998
2026-01-20 16:00:00+00:00,326.239990234375,327.54998779296875,326.1600036621094,326.9750061035156,354039,88.38999938964844,88.69999694824219,88.37000274658203,88.55500030517578,1503528,234.39999389648438,235.08999633789062,234.27999877929688,234.30999755859375,606144,251.57000732421875,252.1300048828125,251.45010375976562,251.67999267578125,691871,609.0999755859375,611.1699829101562,608.9299926757812,610.0599975585938,217776
2026-01-20 16:15:00+00:00,326.92999267578125,327.8299865722656,326.590087890625,327.80999755859375,307964,88.55000305175781,88.69000244140625,88.33000183105469,88.59600067138672,1718326,234.2899932861328,234.35499572753906,233.6300048828125,234.2899932861328,674499,251.6699981689453,251.67999267578125,250.69000244140625,251.30499267578125,743572,610.0,610.6900024414062,608.6126708984375,610.3200073242188,224850
