Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05 14:30:00+00:00,90.91400146484375,92.30000305175781,90.87000274658203,91.875,3909659,318.9612121582031,319.1700134277344,315.6499938964844,316.82000732421875,1798043,650.4099731445312,660.2999267578125,647.751220703125,658.4340209960938,1255061,270.635009765625,270.8599853515625,267.8599853515625,269.17999267578125,3566827,228.74000549316406,231.47000122070312,227.17999267578125,231.22999572753906,4464761
2026-01-05 14:45:00+00:00,91.875,92.14510345458984,91.45079803466797,91.49500274658203,1372944,316.82000732421875,318.2200012207031,316.6200866699219,317.1300048828125,638358,658.5125122070312,660.4000244140625,657.469970703125,659.0,443959,269.20001220703125,270.1449890136719,268.7200927734375,269.385009765625,1169361,231.25,232.0,230.3800048828125,230.9499969482422,2311275
2026-01-05 15:00:00+00:00,91.5,92.13980102539062,91.46499633789062,91.86499786376953,1184183,317.17999267578125,318.3349914550781,316.2900085449219,318.18499755859375,576753,658.97998046875,662.3300170898438,658.97998046875,662.3300170898438,483858,269.44000244140625,271.17999267578125,269.29998779296875,270.30999755859375,1458252,230.97999572753906,232.5399932861328,230.8300018310547,232.39999389648438,5772735
2026-01-05 15:15:00+00:00,91.86499786376953,92.01499938964844,91.81999969482422,91.8499984741211,1133433,318.19000244140625,318.8349914550781,317.260009765625,317.92999267578125,702103,662.3300170898438,664.5399780273438,661.7901000976562,662.4749755859375,483901,270.3102111816406,270.4649963378906,269.6000061035156,269.80999755859375,994896,232.4199981689453,233.55999755859375,232.41000366210938,233.22000122070312,1198791
2026-01-05 15:30:00+00:00,91.86000061035156,91.94999694824219,91.25,91.3550033569336,979308,317.9599914550781,318.1300048828125,317.21710205078125,317.2511901855469,321455,662.5150146484375,663.6300048828125,659.2100219726562,659.2100219726562,353771,269.79998779296875,270.2200012207031,268.9700012207031,269.1199951171875,945145,233.22250366210938,233.39999389648438,231.85000610351562,231.91000366210938,1384924
2026-01-05 15:45:00+00:00,91.3550033569336,91.79000091552734,91.18000030517578,91.7750015258789,845928,317.2401123046875,317.9100036621094,317.05999755859375,317.2799987792969,287463,659.22998046875,661.0999755859375,659.0700073242188,660.6799926757812,212817,269.1199951171875,269.3299865722656,268.8699951171875,269.0199890136719,751844,231.9199981689453,232.27999877929688,231.64999389648438,231.84500122070312,861596
2026-01-05 16:00:00+00:00,91.7750015258789,91.97000122070312,91.52999877929688,91.75499725341797,813117,317.2699890136719,317.95001220703125,317.0799865722656,317.1199951171875,471925,660.7899780273438,662.6898803710938,660.5,662.0399780273438,334436,269.0199890136719,269.18499755859375,268.739990234375,268.739990234375,689828,231.8300018310547,232.1300048828125,231.35000610351562,231.77999877929688,902165
2026-01-05 16:15:00+00:00,91.75,92.19499969482422,91.70999908447266,92.0199966430664,1418032,317.1400146484375,317.9100036621094,316.69000244140625,317.19000244140625,438787,662.1124877929688,662.719970703125,661.0800170898438,662.344970703125,206809,268.739990234375,269.3500061035156,268.70001220703125,268.7900085449219,733159,231.7729949951172,232.32000732421875,231.61000061035156,232.25,919741
