Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 14:30:00+00:00,663.2550048828125,670.8200073242188,659.5499877929688,665.1500244140625,925908,209.0,209.01499938964844,203.35000610351562,206.78509521484375,9575659,82.20500183105469,82.20500183105469,80.21499633789062,80.30000305175781,3086054,277.9049987792969,278.0400085449219,273.489990234375,274.3114013671875,2755498,321.239990234375,323.9100036621094,317.70001220703125,321.989990234375,2293861
2026-02-09 14:45:00+00:00,665.22998046875,665.7249755859375,659.47998046875,660.2100219726562,455831,206.75999450683594,206.92999267578125,204.0850067138672,204.77999877929688,3795618,80.29499816894531,80.44499969482422,79.9000015258789,80.02999877929688,2475690,274.3450012207031,274.94000244140625,273.1600036621094,273.9599914550781,1487644,322.0299987792969,322.510009765625,319.4800109863281,319.82000732421875,1301033
2026-02-09 15:00:00+00:00,660.1500244140625,661.748291015625,658.780029296875,661.02001953125,280768,204.75,207.13999938964844,204.66000366210938,206.77000427246094,2990923,80.03500366210938,80.25830078125,79.87000274658203,80.21499633789062,1624637,273.9599914550781,274.0799865722656,273.04998779296875,273.5150146484375,1139245,319.7699890136719,323.5,319.7099914550781,322.8299865722656,1129562
2026-02-09 15:15:00+00:00,660.875,663.7799072265625,660.0,661.1400146484375,349077,206.77000427246094,207.27999877929688,206.35000610351562,207.14999389648438,3010978,80.21499633789062,80.62999725341797,80.12999725341797,80.48999786376953,1374146,273.5199890136719,274.260009765625,273.05999755859375,273.08270263671875,952157,322.81939697265625,323.55999755859375,322.0199890136719,322.3800048828125,767761
2026-02-09 15:30:00+00:00,661.135009765625,663.7999877929688,660.97998046875,663.260009765625,207716,207.1300048828125,208.6199951171875,207.02499389648438,208.097900390625,2498134,80.489501953125,80.66000366210938,80.33499908447266,80.44999694824219,892113,273.0899963378906,273.75,273.05999755859375,273.42999267578125,649139,322.3999938964844,323.3399963378906,322.1011047363281,322.6499938964844,555739
2026-02-09 15:45:00+00:00,663.135009765625,667.0900268554688,662.2550048828125,666.239990234375,280515,208.10989379882812,209.47000122070312,208.09010314941406,209.02000427246094,2053544,80.44499969482422,80.88999938964844,80.34339904785156,80.80500030517578,1378352,273.42999267578125,273.5249938964844,272.7699890136719,273.25,867221,322.62359619140625,324.9700012207031,322.510009765625,324.8399963378906,870723
2026-02-09 16:00:00+00:00,666.030029296875,668.8800048828125,665.5,668.8599853515625,317522,209.02000427246094,210.1699981689453,209.0,209.80999755859375,2498240,80.80500030517578,80.95999908447266,80.77999877929688,80.875,803133,273.2680969238281,273.70001220703125,273.0799865722656,273.32000732421875,641760,324.83929443359375,325.7799987792969,324.20001220703125,325.7749938964844,688270
2026-02-09 16:15:00+00:00,668.77001953125,672.0900268554688,668.72998046875,671.6900024414062,413795,209.80499267578125,209.9698944091797,208.73150634765625,209.6300048828125,1950804,80.875,81.0999984741211,80.66999816894531,81.06500244140625,6377988,273.3500061035156,273.4700012207031,272.8500061035156,273.398193359375,634452,325.79998779296875,326.3599853515625,325.2720031738281,325.8299865722656,499021
