Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 13:30:00+00:00,95.58000183105469,95.58000183105469,94.36000061035156,94.58499908447266,3061812,632.0,634.489990234375,625.7999877929688,626.6099853515625,1993763,303.5,304.6000061035156,302.4849853515625,303.4800109863281,894266,208.35000610351562,210.0,207.44500732421875,207.5850067138672,2458432,252.10499572753906,252.30999755859375,249.91000366210938,251.55999755859375,2148090
2026-03-16 13:45:00+00:00,94.58000183105469,95.44999694824219,94.55999755859375,95.24500274658203,550864,626.7799072265625,632.0,626.5,631.3900146484375,552763,303.6000061035156,304.6600036621094,303.5299987792969,304.55999755859375,677485,207.57000732421875,208.97250366210938,207.52999877929688,208.91000366210938,1386380,251.61000061035156,253.2100067138672,251.61000061035156,253.0800018310547,1052853
2026-03-16 14:00:00+00:00,95.2490005493164,96.0999984741211,95.16999816894531,95.73500061035156,3597470,631.489990234375,634.739990234375,629.0700073242188,633.0499877929688,2279416,304.5899963378906,305.57000732421875,303.9150085449219,305.1099853515625,639741,208.9199981689453,209.92999267578125,208.55999755859375,209.61000061035156,1117481,253.08999633789062,253.1300048828125,252.47000122070312,252.74000549316406,2381480
2026-03-16 14:15:00+00:00,95.7300033569336,95.80989837646484,95.52999877929688,95.58999633789062,690094,633.010009765625,633.8599243164062,631.3380126953125,632.1500244140625,2246119,305.0799865722656,305.4549865722656,304.2799987792969,304.310302734375,337762,209.60000610351562,210.13999938964844,209.5399932861328,209.59500122070312,989042,252.7100067138672,253.58999633789062,252.61000061035156,253.2357940673828,2313924
2026-03-16 14:30:00+00:00,95.59500122070312,95.71499633789062,95.43000030517578,95.57499694824219,670859,632.0900268554688,632.0900268554688,627.6500244140625,628.3900146484375,211984,304.3349914550781,304.3399963378906,302.86090087890625,302.9599914550781,339776,209.61000061035156,209.61000061035156,208.52000427246094,208.6199951171875,922216,253.22000122070312,253.8000030517578,253.0,253.1300048828125,907342
2026-03-16 14:45:00+00:00,95.57499694824219,95.66999816894531,95.26000213623047,95.48999786376953,4243336,628.3499755859375,629.60498046875,627.5,629.5999755859375,264384,303.0,303.4800109863281,302.5899963378906,303.0799865722656,291935,208.61500549316406,209.16000366210938,208.36000061035156,209.16000366210938,916037,253.1199951171875,253.75100708007812,253.07000732421875,253.6300048828125,3168609
2026-03-16 15:00:00+00:00,95.49500274658203,95.49590301513672,95.0999984741211,95.19200134277344,4199198,629.47998046875,629.6099853515625,627.0900268554688,629.0700073242188,2617373,303.0,303.05999755859375,302.20001220703125,302.9800109863281,1908046,209.1699981689453,209.47500610351562,208.52999877929688,209.42010498046875,4332551,253.6199951171875,253.88499450683594,253.33999633789062,253.7100067138672,611891
2026-03-16 15:15:00+00:00,95.19499969482422,95.38500213623047,95.12999725341797,95.1449966430664,529323,629.0399780273438,629.6400146484375,627.8800048828125,629.1799926757812,2522479,302.8999938964844,303.17999267578125,302.6600036621094,302.9798889160156,208954,209.42999267578125,209.53500366210938,209.0800018310547,209.3699951171875,469901,253.6999969482422,253.74000549316406,252.9199981689453,253.01499938964844,703306
