Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 19:00:00+00:00,343.8800048828125,344.57000732421875,343.7699890136719,344.3699951171875,250500,83.19499969482422,83.38999938964844,83.0999984741211,83.23500061035156,533505,713.010009765625,713.369873046875,712.530029296875,712.6815185546875,109738,243.47999572753906,244.00100708007812,243.4499969482422,243.80999755859375,351947,266.7900085449219,267.135009765625,266.6199951171875,267.1199951171875,927047
2026-02-02 19:15:00+00:00,344.3500061035156,344.9100036621094,344.07000732421875,344.0799865722656,343502,83.2300033569336,83.25,82.87999725341797,82.91999816894531,683862,712.6599731445312,715.594970703125,712.6500244140625,712.739990234375,293113,243.81500244140625,244.0500030517578,243.52000427246094,243.52999877929688,501601,267.1099853515625,267.3500061035156,266.760009765625,267.17999267578125,1132316
2026-02-02 19:30:00+00:00,344.04998779296875,344.3900146484375,343.7250061035156,344.3299865722656,606129,82.9000015258789,83.05069732666016,82.80000305175781,82.95500183105469,604151,712.7849731445312,713.4899291992188,711.2000122070312,711.760009765625,225427,243.52999877929688,243.92999267578125,243.42010498046875,243.9199981689453,571024,267.125,267.44000244140625,266.82000732421875,267.2850036621094,1086412
2026-02-02 19:45:00+00:00,344.29998779296875,344.9599914550781,343.864990234375,344.75,467914,82.95600128173828,83.0,82.7300033569336,82.88870239257812,1020637,711.819580078125,711.819580078125,708.9299926757812,710.4000854492188,245783,243.9149932861328,243.9600067138672,242.9199981689453,242.94009399414062,614777,267.3099060058594,268.2799987792969,267.2300109863281,268.0,1389323
2026-02-02 20:00:00+00:00,344.7300109863281,345.0,343.92999267578125,344.17999267578125,465674,82.88069915771484,83.12999725341797,82.80500030517578,83.029296875,632079,710.4000244140625,712.5800170898438,709.6099853515625,709.97998046875,196479,242.9600067138672,243.52999877929688,242.69500732421875,243.1699981689453,663242,268.0,269.56988525390625,267.85089111328125,268.54998779296875,2336738
2026-02-02 20:15:00+00:00,344.1600036621094,345.1650085449219,344.1199951171875,344.5150146484375,484530,83.0199966430664,83.19999694824219,82.94000244140625,83.13349914550781,734935,709.9600219726562,711.3800048828125,709.7999877929688,710.0399780273438,179769,243.1699981689453,243.375,242.89999389648438,242.9582061767578,626431,268.54998779296875,269.3999938964844,268.30999755859375,268.9800109863281,1297695
2026-02-02 20:30:00+00:00,344.510009765625,344.9200134277344,344.0299987792969,344.510009765625,545379,83.13999938964844,83.16000366210938,82.94999694824219,83.00499725341797,652013,709.9500122070312,710.0750122070312,706.9199829101562,707.3300170898438,283827,242.9499969482422,243.27999877929688,242.55999755859375,243.27999877929688,846741,268.9750061035156,269.7099914550781,268.8399963378906,269.45001220703125,1717343
2026-02-02 20:45:00+00:00,344.5,345.0,344.0249938964844,344.8900146484375,5927455,83.00499725341797,83.05999755859375,82.72010040283203,82.73999786376953,1888143,707.1799926757812,708.97998046875,706.219970703125,706.4199829101562,748069,243.25999450683594,243.3800048828125,242.8300018310547,242.9600067138672,1825058,269.4200134277344,270.489990234375,269.3999938964844,269.9599914550781,4314011
