Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09 13:30:00+00:00,294.1400146484375,296.69000244140625,293.989990234375,295.4949951171875,1919703,210.4600067138672,212.2949981689453,208.64999389648438,209.2550048828125,4795372,97.69000244140625,98.94000244140625,97.66000366210938,97.93000030517578,4194019,255.69000244140625,257.0198974609375,253.6804962158203,254.9600067138672,3695908,634.7525024414062,637.6890258789062,628.25,629.9500122070312,1555246
2026-03-09 13:45:00+00:00,295.4599914550781,296.2699890136719,294.42999267578125,294.95001220703125,1105389,209.20509338378906,209.2899932861328,207.3699951171875,207.47000122070312,3868663,97.93499755859375,98.22000122070312,97.43499755859375,97.93000030517578,1844959,254.9499969482422,256.3699951171875,254.6300048828125,255.7100067138672,1318472,629.9400024414062,631.489990234375,626.780029296875,629.1199951171875,677061
2026-03-09 14:00:00+00:00,294.8500061035156,297.0,294.8500061035156,295.8599853515625,828557,207.44500732421875,208.9600067138672,207.11000061035156,208.48440551757812,2912969,97.91999816894531,98.04000091552734,97.13999938964844,97.17500305175781,1904938,255.65499877929688,256.59991455078125,255.5800018310547,256.1199951171875,1179618,628.9949951171875,632.5999755859375,627.8599853515625,628.889892578125,706085
2026-03-09 14:15:00+00:00,295.9200134277344,298.2698974609375,295.5849914550781,296.7550048828125,672010,208.50999450683594,209.97999572753906,208.44000244140625,209.0500030517578,1770551,97.18000030517578,97.22509765625,96.70999908447266,96.83499908447266,2048925,256.1400146484375,256.9200134277344,255.50010681152344,255.7100067138672,987499,628.8900146484375,632.7498779296875,627.3699951171875,631.0800170898438,492472
2026-03-09 14:30:00+00:00,296.7300109863281,298.57000732421875,296.70001220703125,298.5299987792969,588963,209.02999877929688,210.3300018310547,208.8300018310547,210.31829833984375,1618690,96.8301010131836,97.12999725341797,96.58000183105469,96.96990203857422,2522190,255.66000366210938,257.07000732421875,255.6300048828125,257.07000732421875,1095237,630.8200073242188,634.6799926757812,630.8200073242188,634.6300048828125,325544
2026-03-09 14:45:00+00:00,298.489990234375,299.5799865722656,298.43389892578125,298.9750061035156,713628,210.33999633789062,210.63999938964844,209.66000366210938,210.02000427246094,2087942,96.96499633789062,97.35980224609375,96.70610046386719,96.93890380859375,1608540,257.05999755859375,257.8800048828125,256.989990234375,257.3399963378906,1094512,634.75,636.0,634.0,634.8049926757812,350544
2026-03-09 15:00:00+00:00,298.9649963378906,299.619384765625,298.2799987792969,299.1700134277344,462942,210.0,210.77999877929688,209.50999450683594,210.17250061035156,1759983,96.93499755859375,97.17500305175781,96.81999969482422,96.88500213623047,1325940,257.32000732421875,257.5199890136719,256.92999267578125,257.260009765625,816868,634.8049926757812,635.6898803710938,634.2100219726562,635.260009765625,287085
2026-03-09 15:15:00+00:00,299.260009765625,299.70001220703125,298.95001220703125,299.17999267578125,312646,210.1699981689453,210.83999633789062,210.1199951171875,210.55999755859375,1259261,96.88999938964844,97.47000122070312,96.88999938964844,97.41000366210938,1102820,257.260009765625,257.7900085449219,257.1899108886719,257.7300109863281,720785,635.3599853515625,637.5800170898438,634.030029296875,636.4199829101562,326575
