Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27 13:30:00+00:00,92.05000305175781,92.30999755859375,91.30000305175781,92.12999725341797,3027193,670.9949951171875,678.0050048828125,670.8400268554688,677.47998046875,1447873,343.8399963378906,345.4800109863281,340.80999755859375,344.1000061035156,1866721,266.0899963378906,267.8800048828125,265.07000732421875,267.4849853515625,6222167,263.42498779296875,264.1499938964844,261.6903076171875,262.0849914550781,6792941
2026-04-27 13:45:00+00:00,92.12999725341797,92.56999969482422,91.8499984741211,91.98999786376953,1819114,677.5250244140625,678.77001953125,672.3400268554688,672.4149780273438,744502,344.04998779296875,346.8800048828125,342.7699890136719,346.5799865722656,1686484,267.4949951171875,268.3599853515625,267.30999755859375,268.1300048828125,1881301,262.0299987792969,262.1199951171875,260.3399963378906,261.17999267578125,2859497
2026-04-27 14:00:00+00:00,91.98999786376953,92.16000366210938,91.95999908447266,92.13500213623047,941265,672.4149780273438,674.9000244140625,671.3099975585938,674.9000244140625,534311,346.6400146484375,348.5400085449219,346.4599914550781,346.6600036621094,1536180,268.1199951171875,268.20001220703125,267.1099853515625,267.3900146484375,1232921,261.17999267578125,261.989990234375,261.0,261.05999755859375,1901349
2026-04-27 14:15:00+00:00,92.13899993896484,92.82890319824219,92.12000274658203,92.80999755859375,1183440,674.8300170898438,676.7000122070312,673.9450073242188,676.1599731445312,433735,346.6650085449219,348.739990234375,346.1000061035156,348.614990234375,504322,267.385009765625,267.7398986816406,267.17999267578125,267.3599853515625,882678,261.07000732421875,262.2200012207031,260.8800048828125,262.19500732421875,1747290
2026-04-27 14:30:00+00:00,92.80500030517578,92.80999755859375,92.41999816894531,92.66000366210938,953565,676.2575073242188,678.989990234375,675.0999755859375,677.905029296875,541440,348.6400146484375,349.54998779296875,347.684814453125,348.8900146484375,649999,267.3900146484375,267.79998779296875,267.04998779296875,267.18499755859375,991787,262.18499755859375,262.9700012207031,261.81500244140625,262.4700012207031,1562637
2026-04-27 14:45:00+00:00,92.6698989868164,92.80000305175781,92.58000183105469,92.72000122070312,892445,677.905029296875,681.7199096679688,677.739990234375,681.4199829101562,570108,348.8900146484375,349.3500061035156,348.1199951171875,348.9700012207031,359368,267.18499755859375,267.30999755859375,266.6700134277344,267.1600036621094,827560,262.489990234375,263.0111999511719,262.3900146484375,262.8699951171875,1418811
2026-04-27 15:00:00+00:00,92.7249984741211,92.83999633789062,92.48999786376953,92.58499908447266,767971,681.4000244140625,682.5,678.0,678.2100219726562,470912,349.0,349.1700134277344,347.82000732421875,348.93499755859375,380616,267.17999267578125,267.55560302734375,266.75,266.8900146484375,786834,262.875,262.8999938964844,261.30999755859375,261.3999938964844,1306062
2026-04-27 15:15:00+00:00,92.58000183105469,92.77999877929688,92.58000183105469,92.68080139160156,789799,677.9400024414062,678.6300048828125,675.2899780273438,676.510009765625,357773,348.92999267578125,349.43499755859375,348.0,348.29998779296875,464744,266.8900146484375,267.20001220703125,266.6199951171875,267.1099853515625,645506,261.3900146484375,261.69989013671875,260.7300109863281,261.31500244140625,1266697
