Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 14:30:00+00:00,93.8550033569336,93.86000061035156,92.76000213623047,93.66000366210938,4003793,642.72998046875,648.8436279296875,640.7949829101562,648.8049926757812,826732,279.0950012207031,279.5799865722656,275.0299987792969,275.3055114746094,2353534,320.94000244140625,321.989990234375,317.0,318.0,1517073,230.7100067138672,232.11000061035156,229.4199981689453,231.6699981689453,2295260
2025-12-11 14:45:00+00:00,93.66000366210938,93.83999633789062,93.30999755859375,93.77490234375,1612414,648.8084716796875,650.8099975585938,646.22998046875,648.719970703125,488445,275.3174133300781,275.3590087890625,273.80999755859375,274.2099914550781,1823778,317.9200134277344,318.0899963378906,314.5299987792969,314.8399963378906,1023066,231.6699981689453,231.6699981689453,229.610107421875,229.8699951171875,933697
2025-12-11 15:00:00+00:00,93.77999877929688,94.25,93.63999938964844,94.05650329589844,1655275,648.77001953125,654.8289794921875,648.2899780273438,654.263916015625,537532,274.20001220703125,276.239990234375,274.010009765625,276.17999267578125,1656519,314.9700012207031,316.489990234375,314.5199890136719,316.0899963378906,639154,229.92999267578125,231.1699981689453,229.6300048828125,231.05999755859375,887837
2025-12-11 15:15:00+00:00,94.05500030517578,94.51000213623047,93.94000244140625,94.3949966430664,1766816,654.219970703125,655.280029296875,652.3400268554688,652.6099853515625,449854,276.20001220703125,276.54998779296875,275.55999755859375,276.1199951171875,1053377,316.1499938964844,317.8599853515625,315.739990234375,317.05999755859375,455180,231.0500030517578,231.34500122070312,230.6999969482422,230.8800048828125,560956
2025-12-11 15:30:00+00:00,94.3949966430664,94.54000091552734,94.06999969482422,94.53009796142578,1134885,652.5399780273438,653.1849975585938,650.5499877929688,650.7100219726562,247265,276.114990234375,276.2900085449219,275.3399963378906,276.2099914550781,594788,317.07501220703125,317.8900146484375,316.57000732421875,317.3299865722656,346174,230.86000061035156,231.0399932861328,230.3249969482422,230.6009063720703,464902
2025-12-11 15:45:00+00:00,94.54000091552734,94.68000030517578,94.13999938964844,94.17500305175781,980260,650.9299926757812,650.9749755859375,647.7274169921875,648.9000244140625,265609,276.2099914550781,276.2922058105469,275.20001220703125,275.92999267578125,624241,317.23748779296875,317.6400146484375,315.239990234375,316.8399963378906,552337,230.5399932861328,230.67999267578125,229.5301055908203,229.92999267578125,490784
2025-12-11 16:00:00+00:00,94.16999816894531,94.3499984741211,93.70999908447266,93.76100158691406,1283551,648.8800048828125,649.52001953125,646.4000244140625,647.2899780273438,286460,275.94000244140625,276.5679931640625,275.6300048828125,276.4599914550781,661343,316.7200012207031,317.1600036621094,315.7799987792969,316.0799865722656,378839,229.91000366210938,230.13999938964844,229.14010620117188,229.52999877929688,594853
2025-12-11 16:15:00+00:00,93.76000213623047,94.19999694824219,93.75520324707031,94.08499908447266,963799,647.1300048828125,647.989990234375,646.0300903320312,646.6099853515625,191253,276.44000244140625,276.5899963378906,275.75,275.82501220703125,463235,315.989990234375,316.17999267578125,315.3900146484375,315.54998779296875,243792,229.52999877929688,229.55999755859375,228.69009399414062,228.85000610351562,599637
